Node,WiD1,WiD2,WiD3
1008,8,45,382
1009,7,153,1512
1010,5,64,706
1011,4,24,254
1012,3,85,883
1013,9,112,1185
1014,2,48,734
1015,8,86,923
1016,5,34,419
1017,3,212,2112
1018,4,81,983
1019,5,37,465
1020,6,83,710
1021,6,33,234
1022,8,43,354
1023,2,44,506
1024,10,130,1385
1025,3,37,327
1026,3,76,1357
1027,3,64,549
1028,6,42,406
1029,3,30,519
1030,8,71,566
1031,5,31,370
1032,7,40,405
1033,4,38,755
1034,3,42,572
1035,2,222,2645
1036,5,133,1366
1037,8,145,1974
1038,4,43,443
1039,6,49,483
1040,4,209,2031
1041,3,42,489
1042,4,51,528
1043,4,61,685
1044,4,58,444
1045,4,20,348
1046,5,87,909
1047,3,203,2142
1048,6,163,1598
1049,8,111,1159
1050,5,49,776
1051,3,200,1960
1052,4,56,703
1053,3,48,351
1054,2,191,1875
1055,5,39,346
1056,6,68,718
1057,6,45,559
1058,5,29,490
1059,4,27,240
1060,2,24,175
1061,4,77,645
1062,4,197,1948
1063,6,76,586
1064,4,54,688
1065,17,88,873
1066,4,46,347
1067,9,50,661
1068,3,32,331
1069,5,44,427
1070,5,44,442
1071,2,25,405
1072,4,80,801
1073,5,36,344
1074,5,31,529
1075,5,62,584
1076,5,55,384
1077,2,30,271
1078,2,22,202
1079,10,73,897
1080,8,104,1182
1081,3,96,1212
1082,6,32,401
1083,7,134,1603
1084,4,38,485
1085,6,41,405
1086,6,31,256
1087,2,76,718
1088,3,72,662
1089,6,72,542
1090,2,26,271
1091,7,105,1014
1092,8,52,588
1093,5,39,439
1094,3,19,495
1095,3,102,1041
1096,6,214,2190
1097,9,43,316
1098,2,101,938
1099,6,42,297
1100,4,38,298
1101,2,76,1063
1102,9,107,993
1103,4,77,938
1104,5,40,279
1105,5,65,781
1106,4,43,331
1107,4,30,287
1108,3,51,489
1109,2,46,398
1110,4,122,1326
1111,4,123,1306
1112,5,47,314
1113,2,45,327
1114,8,138,1614
1115,2,120,1640
1116,8,51,636
1117,6,214,2259
1118,3,280,3037
1119,2,22,264
1120,8,51,543
1121,6,223,2210
1122,5,36,456
1123,14,94,1192
1124,3,41,666
1125,8,113,1096
1126,12,77,600
1127,2,193,2165
1128,15,111,1069
1129,2,19,144
1130,4,39,444
1131,3,66,810
1132,14,63,1041
1133,6,28,340
1134,5,235,2291
1135,8,55,506
1136,8,57,671
1137,5,24,293
1138,8,59,706
1139,13,67,558
1140,2,65,837
1141,10,67,809
1142,7,58,430
1143,4,208,2090
1144,3,41,271
1145,2,47,625
1146,3,19,396
1147,7,45,395
1148,2,47,556
1149,6,309,3480
1150,3,204,2031
1151,4,56,490
1152,5,51,439
1153,8,218,2387
1154,9,246,2418
1155,6,41,502
1156,2,37,703
1157,6,109,1439
1158,7,71,667
1159,4,39,398
1160,6,35,339
1161,7,50,623
1162,9,153,1894
1163,6,50,353
1164,6,93,832
1165,5,124,1318
1166,3,107,1222
1167,4,120,1181
1168,12,102,1219
1169,4,23,357
1170,6,126,1709
1171,6,54,484
1172,3,25,201
1173,5,46,368
1174,2,28,329
1175,4,38,535
1176,5,205,2280
1177,5,128,1507
1178,4,111,1656
1179,5,76,1065
1180,6,49,590
1181,6,243,2837
1182,7,41,307
1183,2,97,1245
1184,7,70,506
1185,9,67,479
1186,6,35,408
1187,8,48,417
1188,5,33,325
1189,5,42,406
1190,5,61,567
1191,3,33,454
1192,2,128,1614
1193,9,85,575
1194,3,130,1591
1195,2,191,1925
1196,6,71,625
1197,4,82,930
1198,4,88,1107
1199,3,29,335
1200,7,38,336
1201,3,255,2740
1202,5,58,586
1203,4,31,326
1204,9,64,713
1205,11,71,705
1206,7,70,773
1207,5,42,489
1208,2,188,2195
1209,2,18,264
1210,2,30,273
1211,2,61,698
1212,6,58,447
1213,4,43,397
1214,2,24,289
1215,2,55,590
1216,10,116,1248
1217,2,46,555
1218,4,51,476
1219,5,39,418
1220,2,118,1424
1221,2,16,140
1222,9,48,474
1223,5,45,729
1224,4,32,347
1225,8,44,373
1226,7,220,2241
1227,8,36,419
1228,4,33,422
1229,2,39,523
1230,2,60,640
1231,2,37,337
1232,5,219,2206
1233,2,198,2014
1234,5,202,1941
1235,7,53,447
1236,4,26,240
1237,3,29,432
1238,4,65,798
1239,2,85,792
1240,5,26,360
1241,4,29,395
1242,6,41,491
1243,11,117,1504
1244,2,17,343
1245,4,33,236
1246,5,81,651
1247,3,72,571
1248,5,42,326
1249,10,71,1038
1250,7,54,651
1251,15,64,743
1252,6,49,350
1253,2,15,437
1254,8,44,468
1255,6,130,1155
1256,6,53,792
1257,2,20,282
1258,4,23,187
1259,3,120,1071
1260,10,47,697
1261,3,196,2321
1262,4,93,1008
1263,3,39,276
1264,5,28,352
1265,2,22,192
1266,7,51,462
1267,2,46,442
1268,2,17,108
1269,3,27,332
1270,5,128,1170
1271,5,37,314
1272,9,56,601
1273,6,41,362
1274,4,61,424
1275,4,53,524
1276,3,21,224
1277,7,53,331
1278,2,21,180
1279,3,128,1338
1280,4,70,566
1281,4,47,317
1282,7,42,426
1283,3,32,410
1284,2,31,269
1285,2,66,805
1286,8,91,1051
1287,7,45,364
1288,6,62,501
1289,4,41,369
1290,2,38,349
1291,4,195,1866
1292,6,33,294
1293,10,68,482
1294,2,33,404
1295,12,163,1882
1296,7,250,2497
1297,3,203,2022
1298,2,67,584
1299,3,35,261
1300,5,47,318
1301,4,72,629
1302,4,24,214
1303,14,75,789
1304,5,120,1378
1305,3,46,517
1306,7,210,2055
1307,9,228,2292
1308,2,198,1908
1309,5,68,649
1310,3,24,351
1311,3,123,1326
1312,6,47,487
1313,6,33,577
1314,9,44,289
1315,4,214,2296
1316,4,202,1955
1317,6,301,3343
1318,4,30,361
1319,3,27,282
1320,3,195,1876
1321,6,56,531
1322,4,54,493
1323,10,71,1036
1324,2,214,2250
1325,3,41,367
1326,3,69,702
1327,3,57,679
1328,4,46,602
1329,5,34,528
1330,7,100,838
1331,4,106,1368
1332,7,62,565
1333,5,44,420
1334,4,29,254
1335,4,56,376
1336,8,46,425
1337,4,58,511
1338,10,51,541
1339,5,49,659
1340,4,79,950
1341,15,69,797
1342,2,17,162
1343,2,195,2163
1344,3,52,417
1345,5,32,392
1346,4,23,363
1347,4,33,495
1348,11,60,851
1349,2,19,187
1350,6,46,546
1351,2,30,591
1352,5,242,2444
1353,6,35,279
1354,3,52,393
1355,3,69,664
1356,2,27,317
1357,2,78,909
1358,3,36,516
1359,3,34,304
1360,2,28,269
1361,6,59,645
1362,17,105,1173
1363,4,127,1085
1364,4,63,583
1365,9,48,616
1366,9,77,717
1367,3,41,397
1368,6,127,1492
1369,6,78,1046
1370,6,33,231
1371,4,55,419
1372,9,91,1254
1373,4,123,1346
1374,6,28,202
1375,8,47,541
1376,5,24,169
1377,6,32,292
1378,2,22,355
1379,3,24,228
1380,5,156,2406
1381,4,51,519
1382,3,27,448
1383,6,41,309
1384,3,22,413
1385,4,54,686
1386,6,65,767
1387,2,18,204
1388,6,139,1376
1389,7,58,463
1390,6,38,345
1391,4,77,1082
1392,8,104,898
1393,10,99,855
1394,7,51,849
1395,3,31,254
1396,7,79,1134
1397,5,78,1039
1398,3,34,415
1399,4,24,216
1400,2,20,425
1401,5,73,788
1402,2,16,150
1403,4,231,2938
1404,4,73,644
1405,7,36,331
1406,2,32,364
1407,4,45,483
1408,5,40,370
1409,2,68,579
1410,3,209,2616
1411,6,51,588
1412,2,23,163
1413,6,56,479
1414,6,40,324
1415,7,47,583
1416,4,54,472
1417,2,98,1449
1418,2,28,515
1419,6,220,2037
1420,5,52,498
1421,10,132,1901
1422,4,34,316
1423,4,51,535
1424,4,25,246
1425,2,69,701
1426,2,19,154
1427,4,78,621
1428,5,28,525
1429,6,225,2399
1430,2,76,764
1431,3,27,177
1432,12,69,497
1433,4,33,336
1434,4,28,444
1435,3,220,2331
1436,4,35,373
1437,12,84,1068
1438,3,28,194
1439,5,52,458
1440,4,28,221
1441,2,27,497
1442,4,122,1487
1443,3,52,563
1444,12,88,727
1445,3,121,1437
1446,4,20,195
1447,5,48,526
1448,4,205,2303
1449,2,47,351
1450,4,76,731
1451,2,21,449
1452,3,32,545
1453,4,24,197
1454,5,63,468
1455,3,40,695
1456,2,69,842
1457,8,71,711
1458,4,40,560
1459,4,23,485
1460,6,67,740
1461,2,40,521
1462,2,71,862
1463,3,35,299
1464,4,305,3172
1465,5,32,302
1466,2,114,1205
1467,8,49,396
1468,7,60,746
1469,7,81,920
1470,4,310,2984
1471,4,85,826
1472,3,24,354
1473,3,22,158
1474,5,24,424
1475,4,29,251
1476,7,36,569
1477,5,58,1014
1478,5,33,469
1479,7,54,751
1480,3,245,2773
1481,8,43,455
1482,5,31,416
1483,3,15,260
1484,6,34,296
1485,6,77,923
1486,3,198,2154
1487,7,39,438
1488,4,39,315
1489,7,67,652
1490,3,230,2481
1491,12,91,886
1492,2,14,134
1493,2,14,260
1494,5,59,706
1495,5,53,717
1496,3,38,324
1497,4,24,191
1498,7,29,616
1499,2,12,327
1500,5,53,456
1501,2,18,183
1502,7,34,271
1503,6,82,747
1504,8,208,2258
1505,3,18,116
